ID,項,馬名,性齢,生産年月,調教師,生産者,セリ取引価格,父,母,母父,馬netkeibaID
1,,サンディブロンド,牝2,,,,,,,,2021105821
2,,マイネルディレクト,牡2,,,,,,,,2021106805
3,,セイウンチドリ,牝2,,,,,,,,2021102685
4,,グリントリッター,セ2,,,,,,,,2021100328
5,,マニーブルース,牡2,,,,,,,,2021102752
6,,ニシノリピート,牝2,,,,,,,,2021100402
7,,ミッキードラマー,牡2,,,,,,,,2021104782
8,,イデアガウディ,牡2,,,,,,,,2021103105
9,,サナダ,牡2,,,,,,,,2021101169
10,,クインタレッリ,牡2,,,,,,,,2021102792
11,,ダイシンペルル,牝2,,,,,,,,2021106538
12,,スターリーアイド,牡2,,,,,,,,2021103974
13,,ラスジャン,牡2,,,,,,,,2021101587
14,,エテルノアキーロ,牡2,,,,,,,,2021106007
15,,ツクバアプローズ,牝2,,,,,,,,2021100211
16,,コーストガード,牡3,,,,,,,,2021103189
17,,ファイントパーズ,牝2,,,,,,,,2021107212
18,,ゴールドアローン,牝2,,,,,,,,2021106874
19,,カフェアローロ,牝2,,,,,,,,2021100469
20,,カピリナ,牝2,,,,,,,,2021104073
21,,セージグリーン,牝2,,,,,,,,2021104850
22,,ビーナスライズ,牝2,,,,,,,,2021102342
23,,ラブショック,牝2,,,,,,,,2021100627
24,,ファーマシャイン,牝2,,,,,,,,2021101591
25,,マツリボタン,牝3,,,,,,,,2021103758
26,,アートハラン,牝2,,,,,,,,2021103174
27,,マーゴットエクラ,牝2,,,,,,,,2021102925
28,,クインズスピカ,牝4,,,,,,,,2021106559
29,,ウインアリス,牝2,,,,,,,,2021106224
30,,ミルフルール,牝2,,,,,,,,2021100614
31,,オーシンダイヤ,牝2,,,,,,,,2021102394
32,,ニシノフルール,牝2,,,,,,,,2021104837
33,,フェデラルスタイル,牝3,,,,,,,,2021105032
34,,マンウォル,牝4,,,,,,,,2021103744
35,,ミューシグ,牝3,,,,,,,,2021103326
36,,ジェットブレイク,牡3,,,,,,,,2021100637
37,,ヒカルエリザベス,牝3,,,,,,,,2021104487
38,,マンマミーア,牡3,,,,,,,,2021103317
39,,ニシノデスティーノ,セ3,,,,,,,,2021106995
40,,ケイティブルーム,牝3,,,,,,,,2021107164
41,,ホウオウバラード,牡3,,,,,,,,2021103511
42,,ビアメントブラスト,牝3,,,,,,,,2021100608
43,,ソウテンノヒカリ,牡3,,,,,,,,2021106365
44,,ユズノキ,牝3,,,,,,,,2021104570
45,,アイリータイム,牝3,,,,,,,,2021104546
46,,エルキーオ,牡3,,,,,,,,2021101881
47,,キャラメルコード,牝3,,,,,,,,2021103100
48,,ガラスノイチゴ,牝3,,,,,,,,2021102025
49,,マコタイガ,牡4,,,,,,,,2021101356
50,,ラブラドライト,牡3,,,,,,,,2021103109
51,,タイキオナード,牡3,,,,,,,,2021103169
52,,プラチナバンド,牡3,,,,,,,,2021100045
53,,レッドスフェーン,セ3,,,,,,,,2021105308
54,,カミノケンシン,牡3,,,,,,,,2021109071
55,,キツネノヨメイリ,牝3,,,,,,,,2021110094
56,,ネオクラウン,牡3,,,,,,,,2021106120
57,,ノアファラオ,牡3,,,,,,,,2021104358
58,,ビッグロゴスルーフ,牡3,,,,,,,,2021106522
59,,タルマイサン,牡3,,,,,,,,2021102857
60,,リムショット,牡3,,,,,,,,2021105656
61,,ヴェサリウス,牡4,,,,,,,,2021104401
62,,サザンクーガー,牡3,,,,,,,,2021100843
63,,エコロブレード,牡4,,,,,,,,2021103713
64,,ダンシングボビー,牡3,,,,,,,,2021102229
65,,ミッキーラッキー,牡2,,,,,,,,2021105561
