ID,馬主名,馬主netkeibaID
1,サンデーレーシング,226800
2,サラブレッドクラブ・ラフィアン,546800
3,西山茂行,897009
4,ウエスト．フォレスト．ステイブル,368803
5,サンライズ,866800
6,野田みづき,441007
7,益田修一,949030
8,荻原慎司,183031
9,平瀬智樹,948031
10,大八木秀子,255031
11,三石軽種馬共同育成センター,325803
12,鈴木康弘,624007
13,八巻弘一,461008
14,細谷武史,363030
15,石川佳弘,289033
16,村山卓也,47030
17,居城寿与,712033
18,西川光一,629007
19,ヒダカ・ブリーダーズ・ユニオン,547800
20,吉田千津,310007
21,吉岡寛行,726031
22,オールラブクラブ,10700
23,中西功,117030
24,是枝浩平,370803
25,大樹ファーム,536800
26,前田良平,900031
27,ケイアイスタリオン,331803
28,ウイン,494800
29,保坂和孝,398030
30,大田慎治,518031
31,吉田照哉,758005
32,ＯＵＭＡ,379803
33,ミルファーム,629800
34,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,87803
35,安蒜一修,482033
36,武田茂男,473008
37,瀧本和義,83006
38,小笹芳央,906033
39,岡田壮史,684030
40,岡浩二,370008
41,ＣＨＥＶＡＬＡＴＴＡＣＨＥ,888800
42,ディアレストクラブ,13803
43,谷口悦一,514033
44,福田光博,615030
45,矢野琢也,903031
46,田頭勇貴,855030
47,明栄商事,40803
48,東京ホースレーシング,180800
49,村上正喜,913008
50,前田幸貴,117031
51,西田俊二,502033
52,佐山公男,861002
53,ビッグルーフレーシング,372803
54,キャロットファーム,486800
55,高瀬正志,392803
56,山本茂,377008
57,原村正紀,783033
58,伊東純一,934006
59,シルクレーシング,506800
60,大塚亮一,858800
61,金子真人ホールディングス,708800
62,田畑利彦,464030
63,前田幸大,242031
64,臼井義太郎,70803
65,新井利宜,822031
66,山田弘,518002
67,丸山竜一,812033
68,岡田牧雄,851009
69,雅苑興業,879800
70,スピードファーム,911800
71,宇田豊,39030
72,吉澤ホールディングス,346803
73,ＤＭＭドリームクラブ,26803
74,ビッグレッドファーム,716800
75,尾上松壽,566006
76,加藤徹,36006
77,小村アセットＭ,783800
78,和田志保,817033
79,天野克彦,28031
80,戸山光男,851005
81,里見治,790031
82,コロンバスサークル,878800
83,京都ホースレーシング,65803
84,飯田正剛,994002
85,Ｈ．Ｈ．シェイク・ハムダン,4060
86,井高義光,50002
87,小坂功,162033
88,二風谷ファーム,841800
89,田中成奉,224007
90,久保田定,308033
91,川上哲司,762007
92,田中晴夫,619002
93,ノルマンディーサラブレッドレーシング,854800
94,細谷典幸,443007
95,酒井孝敏,714031
96,平賀久枝,729005
97,久米大,284008
98,坂東牧場,185800
99,澤田昭紀,132030
100,ＹＧＧホースクラブ,188800
101,天白泰司,75006
102,橋元幸人,173033
103,ハイパワー商事,572800
104,小山田満,6803
105,佐々木基,280033
106,スマイルファーム,341803
107,佐々木雄二,852030
108,スリースターズレーシング,22700
109,三岡陽,82031
110,ゴドルフィン,3060
111,近藤旬子,535031
112,前田晋二,41002
113,吉田和美,138007
114,Ｍｒ．ホース,528033
115,ロードホースクラブ,170800
116,窪田芳郎,208008
117,小川眞査雄,42033
118,安原浩司,271008
119,星加浩一,385031
120,藤田晋,232031
121,ラ・メール,877800
122,平田修,11008
123,栗本博晴,970006
124,寺田千代乃,534006
125,さくらコマース,19800
126,村田能光,634033
127,鈴木隆司,869006
128,前田幸治,948006
129,前田葉子,245030
130,中島稔,119007
131,タマモ,515800
132,堀紘一,505006
133,森保彦,748009
134,里見美惠子,414030
135,吉田勝己,790005
136,熊坂俊一,389008
137,庄司修二,597033
138,アドバンス・サッポロ,970800
139,藤田在子,491030
140,草間庸文,909006
141,エクワインレーシング,313803
142,加藤守,19004
143,土井薫,108002
144,松本好雄,523005
145,伊藤永二郎,914031
146,槙和美,754033
147,永山芳大,545031
148,ニッシンホールディングス,318803
149,三田昌宏,872800
150,北所直人,163002
151,社台レースホース,415800
152,小笹公也,304008
153,川勝裕之,202033
154,松岡隆雄,306008
155,協栄,959800
156,幅田昌伸,331007
157,山元哲二,248005
158,東豊物産,965800
159,林正道,675030
160,村上稔,870004
161,馬場幸夫,431002
162,高岡義久,871031
163,兼松忠男,840008
164,ＫＲジャパン,300803
165,加藤ステーブル,59803
166,永田和彦,875006
167,キーウエスト,310803
168,カナヤマホールディングス,45803
169,脇山良之,135007
170,山本能行,306033
171,大川徹,7803
172,奈村睦弘,972002
173,畑佐博,78006
174,ライフハウス,399803
175,八木良司,859002
176,三木正浩,195031
177,土井肇,329004
178,塚田義広,831031
179,小林英一,587031
180,イクタ,459800
181,谷掛龍夫,727008
182,山下新一,919002
183,松本俊廣,853002
184,石川達絵,248030
185,下河辺牧場,362800
186,ヒルノ,823800
187,梶山高志,879004
188,佐伯由加理,934033
189,那須野牧場,51800
190,中井敏雄,602002
191,キーファーズ,2803
192,スリーエイチレーシング,72803
193,塚本能交,952006
194,ケイズジャパン,389803
195,ＹＭホース,626031
196,亀岡和彦,192031
197,猪熊広次,859007
198,ミキハウスＨＫサービス,756800
199,ダノックス,619800
200,ノースヒルズ,788800
201,日下部猛,927033
202,大冨智弘,73803
203,河合裕明,615033
204,ライオンレースホース,542800
205,フォーレスト,730800
206,八木秀之,874800
207,鈴木邦英,524030
208,宮川純造,350002
209,佐藤範夫,451033
210,水上行雄,482002
211,竹園正繼,356002
212,キャピタル・システム,5803
213,小林祥晃,966007
214,サザンホールディング,369803
215,江馬由将,879033
216,山口謙太郎,133031
217,菅藤孝雄,646031
218,浅川皓司,350004
219,加藤誠,944030
220,青山洋一,15008
221,名古屋友豊,463800
222,藤田孟司,260006
223,桑畑夏美,702033
224,タイヘイ牧場,154800
225,小林昌志,531006
226,廣崎利洋ＨＤ,37803
227,ルクス,397803
228,吉木伸彦,755030
229,寺田寿男,866006
230,インゼルレーシング,356803
231,大澤繁昌,796002
232,国本勇,544008
233,玉井鶴枝,898004
234,辻子依旦,484031
235,荒木誠,89030
236,ブルースターズファーム,27803
237,楠本勝美,103006
238,由井健太郎,44803
239,柴原榮,238009
240,Ｇ１レーシング,808800
241,平井裕,686006
242,神田紘爾,333007
243,長井純一,890007
244,熊木浩,372033
245,藤本栄史,34031
246,柏木務,514009
247,門野重雄,490006
248,島川隆哉,270006
249,海谷幸司,457002
250,青芝商事,831800
251,吉川朋宏,838030
252,高橋文男,371009
253,三嶋牧場,363800
254,松山増男,339008
255,永田博之,306031
256,グリーンファーム,148800
257,相馬勇,580007
258,杉浦敏夫,781033
259,清進電設,937800
260,田中昇,122008
261,大谷正嗣,5060
262,西村憲人,537006
263,戸部政彦,190033
264,村田哲朗,493006
265,村上義勝,127002
266,アスール,47803
267,鈴木正一,222031
268,東堂レーシング,96803
269,了徳寺健二ホールディングス,89803
270,エムズレーシング,199031
271,中村祐子,373008
272,浅沼廣幸,274002
273,小紫嘉之,835030
274,飯田貴大,271031
275,中谷典生,891031
276,小野博郷,212008
277,日下幸徳,845033
278,鶴見芳子,480033
279,大島豊彦,620033
280,丹羽裕正,676031
281,萬野順啓,135002
282,西村新一郎,772002
283,高嶋航,440030
284,薪浦亨,768006
285,鈴木照雄,137030
286,プレミアムレースホース,81700
287,飯田訓大,661030
288,中島俊房,831033
289,ＧｒａｎｄｅＲａｃｉｎｇ,910800
290,宮崎俊也,123031
291,丹羽久一郎,244033
292,山口裕介,798033
293,宮原廣伸,52009
294,石瀬浩三,812008
295,宮レーシング,768031
296,亀井哲也,164008
297,鈴木美江子,881033
298,程田真司,988033
299,石川秀守,18033
300,山本三津子,953030
301,栄進堂,785800
302,山田貢一,440006
303,星野隆男,530033
304,荒井眞澄,790033
305,吉冨学,905033
306,杉山忠国,53803
307,西川恭子,505007
308,井上基之,623005
309,谷口久和,918002
310,桂土地,311800
311,林田祥来,121031
312,奥裕嗣,548033
313,松本好隆,911008
314,上田江吏子,32031
315,鈴木昭和,305030
316,加藤和夫,672033
317,シンザンクラブ,351800
318,犬塚悠治郎,689033
319,栗本守,488007
320,宮内牧場,916800
321,谷崎森吾,706031
322,ＧＥＴＮＥＸＴ,353803
323,曽我司,911009
324,熊田義孝,380008
325,豊原正嗣,982006
326,片桐拓也,864031
327,加藤信之,453006
328,辻助,601031
329,河崎五市,841030
330,友駿ホースクラブ,321800
331,加藤久枝,935003
332,山下繁美,970031
333,原禮子,8803
334,深見富朗,966002
335,兼松康太,846033
336,ローレルレーシング,32800
337,岩崎伸道,482007
338,今村明浩,466033
339,山口敦広,895030
340,マークス,344803
341,浦野和由,220031
342,日隈良江,950006
343,藤原征士郎,311030
344,山田裕仁,513008
345,猪又晶介,651031
346,小林誠,381031
347,平川進,759033
348,永井啓弍,382004
349,久保田典秀,996031
350,大野龍,597030
351,ヒダカファーム,132800
352,エースレーシング,965031
353,安岡美津子,631006
354,吉川潤,17803
355,豊田智郎,489007
356,田島大史,754030
357,市川義美ホールディングス,10803
358,広尾レース,553800
359,上田芳枝,495031
360,中村徳也,512031
361,松尾正,872006
362,リーヴァ,781800
363,Ｇリビエール・レーシング,98803
364,前原敏行,427030
365,小林薫,892002
366,高昭牧場,117800
367,ドリーム＆Ｄｒｅａｍ,135803
368,高岡浩行,330031
369,佐野信幸,735033
370,トウショウ産業,78800
371,シンボリ牧場,431800
372,岡田隆寛,55030
373,高山ランド,784800
374,馬目卓,979007
375,松谷翔太,849033
376,西村專次,99007
377,染谷幸雄,129008
378,フィールドレーシング,463031
379,遠藤良一,525033
380,志邑宣彦,220030
381,蓑島竜一,99031
382,ＣＬＵＢＲＵＮＦＯＲＴＨＥＲＯＳＥＳ,300700
383,山本てるみ,280031
384,外池榮一郎,525030
385,コスモヴューファーム,30803
386,山岸桂市,510008
387,小濱正智,527031
388,吉岡誠,959031
389,吉田喜代司,513006
390,工藤圭司,703030
391,リトルブルーファーム,64803
392,谷川牧場,398800
393,中辻明,646030
394,柴田実千代,943031
395,ＮＩＣＫＳ,887800
396,吉田晴哉,231033
397,湘南,679800
398,ターフ・スポート,102800
399,ＤｅｅｐＣｒｅｅｋ,374803
400,黒岩初美,89034
401,野田努,268033
402,秋元竜弥,799031
403,ゴールドレーシング,385800
404,加治屋貞光,116033
405,木部厳生,815033
406,矢野恭裕,43033
407,古岡宏仁,17033
408,前迫義幸,903007
409,諸岡慶,951033
410,キヨタケ牧場,490800
411,湯浅健司,793033
412,田代洋己,425031
413,ＡＩレーシング,250033
414,石橋和夫,726008
415,芳川貴行,253030
416,藤沼利夫,326030
417,ディアマント,864800
418,永井商事,61800
419,ライフエンタープライズ,312803
420,佐々木八郎,742005
421,栗嶋豊明,739009
422,稻井田有司,366031
423,田中慶治,261008
424,森和久,698033
425,水上ふじ子,281008
426,一村哲也,798008
427,橋口,33803
428,下河辺隆行,272008
429,荒井泰樹,249031
430,尾田信夫,236033
431,多田賢司,281033
432,丸山担,922030
433,今中俊平,428033
434,河合純二,165033
435,坂本浩一,113030
436,稲場澄,628031
437,瀬谷隆雄,775006
438,宮城寛也,818008
439,小田切光,975030
440,永山勝敏,695033
441,辻雄二,783031
442,岡本良三,131030
443,杵臼牧場,361800
444,ゼンレーシング,377031
445,山岡正人,312006
446,大八木信行,929002
447,堀江貞幸,333008
448,まの,587800
449,本谷兼三,23007
450,石坂茂ラボ,101803
451,増田陽一,291002
452,米田稔,102031
453,福井明,731006
454,阿部東亜子,985033
455,大迫久美子,52803
456,中西桂子,208033
457,辻牧場,302800
458,駒秀,436800
459,吉岡輝美,337031
460,スズノレーシングクラブ,330700
461,松島一晃,543031
462,国本哲秀,331002
463,佐藤弘樹,624031
464,平川浩之,136007
465,村上龍太郎,624008
466,村上憲政,894030
467,沼川一彦,500007
468,栗原正章,379031
469,モンレーヴ,133803
470,伊藤和夫,49033
471,星野壽市,265006
472,原田豊,945006
473,白石明日香,277031
474,落合幸弘,252030
475,矢野まり子,251033
476,田中慎之輔,734031
477,小松欣也,931033
478,小林由明,933033
479,木村牧場,935800
480,山口功一郎,849030
481,小原準一郎,853030
482,冨沢敦子,609009
483,千葉正人,432030
484,グリーンスウォード,55700
485,磯部昌史,485031
486,矢野雅子,406031
487,本田恒雄,816008
488,鈴木正浩,317033
489,亀田和弘,390803
490,井山登,149002
491,鳴田啓志,382008
492,堂守貴志,425030
493,長谷川清英,830030
494,竹本いずみ,118007
495,北前孔一郎,338008
496,小林竜太郎,336030
497,松浦一久,813007
498,石井輝昭,553031
499,植村仁,751033
500,村野康司,338007
501,小林善一,880033
502,近藤英二,562031
503,平田牧場,984800
504,栗山良子,797008
505,新木鈴子,21006
506,西見徹也,266008
507,渡辺牧場,922800
508,石山嘉七,468033
509,西野晴夫,833030
510,原昌久,5034
511,堀口晴男,407033
512,柴田洋一,932008
513,ＸＩＡＯジャパン,266031
514,高瀬真尚,227007
515,福島祐子,159033
516,徳永雅樹,486031
517,松田整二,304030
518,長谷川守正,370033
519,青山郁代,585031
520,渡邉直樹,795033
521,紅露純,358031
522,中西純穂,1031
523,内村正則,695004
524,矢野悦三,18034
525,寳寄山拓樹,356031
526,坂本守孝,876033
527,小田切有一,334009
528,日進牧場,100800
529,野村茂雄,319007
530,奈良崎孝一郎,610006
531,布施慶士,75031
532,内田玄祥,149033
533,村木隆,379008
534,的場徹,766007
535,栗坂崇,290006
536,美崎光二郎,675033
537,野田政義,449030
538,中西宏彰,912002
539,横尾晴人,145030
540,山本律,682033
541,ジーホース,338803
542,竹下千亜子,983033
543,塚本法生,557033
544,伊藤輔則,139031
545,高橋明裕,751030
546,フジワラ・ファーム,616800
547,石川博,752006
548,加藤志明,258031
549,小島俊治,64031
550,山田有暉朗,777031
551,猪野毛雅人,806002
552,加藤裕司,213033
553,佐々木主浩,6030
554,小林英一ホールディングス,882800
555,増田雄一,168006
556,日高大洋牧場,93803
557,本間茂,694008
558,ＭＯＭＯレーシング,962031
559,ゴールドアップ・カンパニー,348803
560,井之口二三雄,310030
561,芳賀克也,247030
562,柳内光子,38033
563,レッドマジック,86803
564,Ｈ．ＦＡｓｓｏｃｉａｔｉｏｎ,70700
565,廣崎智子,625008
566,ＴＮレーシング,969031
567,丸幸小林牧場,269800
568,吉田勝利,554008
569,トライスターレーシング,83700
570,川島和範,469031
571,宮本昇,177033
572,廣崎利洋,539002
573,タカシマ,395803
574,太田珠々子,444030
575,長谷川祐司,196031
576,馬場祥晃,446007
577,服部新平,142006
578,晴間芳次,677033
579,山田泰司,731033
580,副島義久,297007
581,ビッグ,568800
582,自由が丘サラブレッド倶楽部,302700
583,大野照旺,550033
584,子安裕樹ＲＣ,385803
585,和泉憲一,685030
586,オースミ,712800
587,丸岡啓一,530006
588,須藤英之,560031
589,幅田京子,320030
590,コージーレーシング,182031
591,川端美穂,826031
592,福澤真也,709033
593,Ｃ．フィプケ,32060
594,ホシノレーシング,358803
595,大田恭充,333031
596,今井優,580031
597,飯塚知一,308002
598,岡田甲子男,376031
599,永井宏明,979033
600,高橋貴士,971033
601,森田和豊,819031
602,藤澤眞佐子,477030
603,五影隆則,968006
604,下河邉博,292030
605,中西忍,628007
606,中村忠彦,723033
607,諸江幸祐,63803
608,谷口屯,586006
609,岡村善行,535006
610,高野哲,473030
611,武田浩典,607031
612,古賀禎彦,320803
613,柳橋俊昭,277008
614,前川俊行,590033
615,フロンティア,82803
616,ジェイアール,948800
617,中込哲太郎,698031
618,桑田照夫,800031
619,池上一馬,780006
620,眞保榮稔,837033
621,村田滋,648002
622,長島和彦,130031
623,中村規,91034
624,ＫＡＪＩＭＯＴＯホールディングス,393803
625,矢野秀春,448009
626,薗部博之,960006
627,久米田正明,399030
628,吉岡泰治,265005
629,ディアレスト,13700
630,ＩＨＲ,40700
631,澤田孝之,214033
632,池谷誠一,172002
633,中平和宏,471031
634,千明牧場,75800
635,桑野克己,83031
636,橘倍男,483007
637,杉浦和也,367033
638,ジャコモ,29803
639,中澤利文,375006
640,河内孝夫,321004
641,村木克成,555031
642,田中純一,987033
643,平野武志,689002
644,杉本豊,478030
645,辻高史,191033
646,栗山学,97031
647,風早信昭,784033
648,小松崎孝,248033
649,ＳＴレーシング,874033
650,半沢,541800
651,二口雅一,952033
652,ダイヤモンドファーム,623800
653,兼松昌男,939006
654,阿部榮乃進,51030
655,五影慶則,477006
656,田畑富子,307033
657,新谷正子,974033
658,ＶｉｒｉｄｉａｎＫｅｉｂａＣｌｕｂ,92700
659,高原将浩,936033
660,唐澤絵里加,613031
661,井上隆次,236031
662,フクキタル,46803
663,住谷幾久子,311031
664,村田博司,497031
665,勝本竜二,268031
666,關美和,88034
667,嶋田賢,399009
668,三浦大輔,747030
669,山田信太郎,417030
670,伊藤篤,436031
671,サイプレスホールディングス,15803
672,山下良子,158033
673,中西浩一,730002
674,石橋充教,847031
675,三石川上牧場,691800
676,國分純,243008
677,栗山道郎,781002
678,山邉浩,522030
679,田島政光,504007
680,平沼龍漢,498031
681,宮田守,526030
682,大野商事,373800
683,吉田安惠,221007
684,廣崎双葉,315031
685,増田和啓,345033
686,輝レーシング,807033
687,村島昭男,15006
688,田中義明,429033
689,三宅勝俊,372008
690,松岡雅昭,279009
691,阿部雅英,44008
692,竹田寿,809033
693,望月雅博,243033
694,チョウサン,892800
